lbias,lbp,lbn,lin1,lin2,ltn,ltp,vcmo,mamp,fbias,fbp,fbn,fin1,fin2,ftn1,ftn2,ftp1,ftp2,cload,cin,cout,gain,gm,pole1,pole2,rout,cmo,pwr,swing14,swing7,swingn,swingn1,swingn4,swingp,irn
0.00000026,0.00000054,0.0000006,0.00000026,0.00000021,0.00000035,0.0000001,0.46,90,9,9,10,10,4,5,3,2,2,1.00E-012,6.03E-012,4.19E-013,59.4135,0.00466948,566897,439663000,200174,0.45651,-0.00145226,0.523271,0.00983211,0.0078042,0.305831,-0.018287,0.37221,3.61E-010
0.00000018,0.00000025,0.00000037,0.00000027,0.00000005,0.00000044,0.0000006,0.54,4,2,2,3,3,4,9,6,9,6,1.00E-012,3.9E-014,4.7E-015,42.4295,0.000124682,150434,847857000,1060890,0.53684,-0.0000713,0.55362,-0.0158111,0.0973773,0.297222,0.123649,0.279719,4.15E-009
0.00000035,0.00000017,0.00000008,0.00000044,0.0000005,0.00000036,0.00000005,0.52,83,7,6,4,5,6,3,9,2,8,1.00E-012,1.2E-011,2.09E-013,47.9537,0.0030203,1607330,1221970000,82724.9,0.516536,-0.00162669,0.465962,-0.0186986,0.00526582,0.363678,-0.0792339,0.361787,4.46E-010
0.00000024,0.00000049,0.00000023,0.00000047,0.00000017,0.00000035,0.0000003,0.6,43,8,5,3,3,9,8,2,3,5,1.00E-012,9.33E-013,7.87E-014,48.5655,0.000645898,359554,544385000,415059,0.596497,-0.000422295,0.523496,-0.0412914,0.129855,0.337127,0.078604,0.243892,8.17E-010
0.00000055,0.0000004,0.00000021,0.00000059,0.00000028,0.00000032,0.00000055,0.42,79,6,6,4,4,2,4,3,8,9,1.00E-012,2.56E-012,2.93E-013,46.5208,0.00152679,903233,573158000,138758,0.415638,-0.000743014,0.532019,-0.0173416,-0.0420836,0.320023,-0.0301422,0.430832,5.1E-010
0.00000014,0.00000026,0.00000012,0.00000048,0.00000024,0.00000044,0.00000051,0.42,94,8,6,5,9,10,6,6,2,7,1.00E-012,6.63E-012,2.07E-013,24.1625,0.000154386,1235200,86781500,104597,0.416612,-0.000770114,0.836581,0.666319,0.29468,0.0182918,0.0381571,-0.240833,0.000000133
0.00000028,0.00000028,0.00000029,0.00000028,0.00000033,0.0000006,0.00000046,0.48,23,9,6,3,5,4,2,3,2,7,1.00E-012,6.84E-013,4.74E-014,-49.8886,0.000000007,322624,23146800,458119,0.476531,-0.000142841,0.748109,0.892968,0.273274,0.0779486,-0.0625449,-0.494488,0.000253971
0.00000047,0.00000059,0.00000038,0.00000027,0.00000027,0.00000036,0.00000007,0.5,5,4,7,10,10,7,9,7,7,4,1.00E-012,1.99E-013,2.89E-014,44.0964,0.000253522,249193,785407000,632126,0.496596,-0.000147993,0.47214,-0.0743197,-0.0176384,0.370906,-0.0293092,0.391683,1.37E-009
0.00000031,0.00000058,0.0000004,0.00000055,0.00000013,0.00000032,0.00000051,0.6,96,6,6,4,5,4,6,2,9,10,1.00E-012,3.26E-012,2.16E-013,55.9537,0.00215869,455593,404288000,290733,0.595903,-0.00114527,0.553646,-0.0179771,0.14961,0.298568,0.038275,0.227767,3.63E-010
0.0000004,0.0000004,0.00000046,0.00000036,0.00000054,0.0000004,0.00000056,0.56,5,2,2,10,9,9,9,9,8,3,1.00E-012,2.13E-013,1.1E-014,43.728,0.000113661,118930,392179000,1351420,0.556656,-0.000067,0.440006,-0.0730743,0.0400729,0.403028,-0.00626454,0.308442,2.06E-009
0.0000003,0.00000053,0.00000048,0.00000031,0.00000057,0.00000059,0.00000053,0.6,77,2,10,8,10,3,3,10,2,2,1.00E-012,3.74E-012,2.28E-012,26.5345,0.000990569,1703830,61940800,21421.1,0.58573,-0.000447961,0.781752,0.379926,0.440138,0.0363706,-0.0449112,-0.116733,4.56E-008
0.00000052,0.00000033,0.00000045,0.00000029,0.00000042,0.00000015,0.00000043,0.46,4,2,3,9,10,2,9,10,4,6,1.00E-012,1.31E-013,1.64E-014,42.963,0.0001644,186582,643149000,855557,0.45659,-0.0000734,0.507185,-0.0611507,-0.0136373,0.350234,-0.0430617,0.380691,1.82E-009
0.0000001,0.00000037,0.00000011,0.00000048,0.00000018,0.00000016,0.00000054,0.44,75,9,10,10,2,5,10,7,10,2,1.00E-012,9.84E-013,4.84E-013,37.0975,0.0021254,3215960,778145000,33684.7,0.436692,-0.00159879,0.500418,-0.056232,-0.0407743,0.363431,0.00725147,0.407399,1.15E-009
0.0000003,0.00000045,0.00000043,0.00000014,0.00000007,0.00000059,0.00000058,0.58,89,5,4,2,4,6,6,4,7,3,1.00E-012,7.16E-013,1.24E-013,67.7244,0.00284905,168682,441001000,854125,0.576394,-0.000800928,0.591234,0.0755618,0.20496,0.222421,0.0840812,0.175679,6.66E-010
0.00000045,0.00000026,0.00000016,0.0000004,0.00000019,0.00000042,0.00000049,0.52,88,4,3,8,3,10,2,9,6,7,1.00E-012,3.63E-012,1.27E-013,21.1677,0.000803285,4816190,39917600,14240.2,0.514572,-0.000923101,0.851756,0.456496,0.403588,0.00119681,0.0126937,-0.118179,0.000000156
0.00000045,0.00000029,0.00000052,0.00000029,0.00000033,0.00000021,0.00000026,0.58,61,9,8,10,8,7,7,3,6,6,1.00E-012,2.34E-012,2.22E-013,66.766,0.0033636,203183,699545000,647883,0.576089,-0.00130882,0.588171,0.0399818,0.17623,0.258856,-0.00899423,0.203783,4.46E-010
0.00000056,0.00000055,0.00000029,0.00000047,0.00000047,0.00000031,0.00000019,0.52,32,6,4,2,6,6,2,6,8,9,1.00E-012,3.83E-012,4.64E-014,60.4158,0.00127849,188768,402150000,820528,0.516303,-0.000485625,0.544136,0.00366241,0.06543,0.288673,-0.0655368,0.314297,3.8E-010
0.00000052,0.00000051,0.00000053,0.00000017,0.00000044,0.00000053,0.00000041,0.54,32,5,10,8,2,7,3,4,2,6,1.00E-012,7.38E-013,1.18E-013,-46.1061,0.000000186,4878750,270738000,26677,0.535651,-0.000203982,0.808955,0.817186,0.387854,0.0348781,-0.016273,-0.493624,0.0000245
0.00000014,0.00000028,0.00000059,0.00000016,0.00000037,0.00000029,0.00000006,0.42,75,4,7,6,7,10,10,8,2,3,1.00E-012,2.6E-012,2.12E-013,65.2232,0.00819824,600191,892767000,222556,0.416749,-0.00293386,0.694436,0.114317,0.0904662,0.14184,-0.0441104,0.282722,2.84E-010
