fbias,lbias,fin,fp,lin,lp,vcmo,mamp,cload,cin,cout,gain,gm,pole1,rout,zero,cmo,pwr,swingn,swingp
32,0.00000012,65,140,0.0000004,0.00000029,0.54,93,1.00E-012,2.51E-013,7.5E-014,36.7135,0.00135687,37942000,50481.9,6190780000,0.536354,-0.00050688,0.450682,0.386883
36,0.00000008,185,25,0.00000007,0.0000002,0.54,24,1.00E-012,2.12E-013,4.78E-014,27.7221,0.0179649,2286850000,1354.19,189806000000,0.531998,-0.00680831,0.445431,0.0470731
34,0.00000022,150,65,0.0000003,0.00000055,0.58,4,1.00E-012,8.33E-013,6.11E-014,47.8636,0.00420721,39791700,58773.8,11497800000,0.575564,-0.00108408,0.489952,0.217108
23,0.00000088,60,70,0.00000011,0.00000058,0.5,33,1.00E-012,3.25E-013,4.58E-014,43.903,0.00527597,91261100,29706.3,74035300000,0.487948,-0.00131555,0.402623,0.280024
82,0.00000016,120,35,0.00000052,0.00000005,0.48,94,1.00E-012,5.03E-013,6.17E-014,21.3294,0.00201746,348755000,5776.52,3411310000,0.475271,-0.000803033,0.389552,0.459421
37,0.00000062,45,200,0.00000058,0.00000049,0.48,88,1.00E-012,2.1E-013,9.33E-014,46.3786,0.000637393,4992140,326980,3233490000,0.473514,-0.000184323,0.387777,0.46058
54,0.00000026,45,110,0.00000026,0.00000007,0.42,58,1.00E-012,1.12E-013,6.67E-014,31.2402,0.00155862,95888500,23402.8,9786810000,0.414955,-0.000487398,0.329408,0.528581
67,0.00000064,80,200,0.00000046,0.00000023,0.46,72,1.00E-012,3.31E-013,1.08E-013,46.023,0.00144488,10355500,138458,4205970000,0.45057,-0.00039668,0.364872,0.483308
58,0.00000042,95,180,0.00000054,0.00000008,0.48,69,1.00E-012,4.22E-013,9.88E-014,34.7547,0.00147758,41087200,36998.4,2247290000,0.473677,-0.000423045,0.387951,0.472878
25,0.00000064,70,170,0.00000032,0.00000021,0.42,65,1.00E-012,2.23E-013,7.99E-014,46.5834,0.00185713,16837700,114901,8787200000,0.414545,-0.000460069,0.328933,0.513627
