nf_cap,nf_load,res,nf_dif,delay,delay0
17.0,19.0,3100.0,11.0,3.06766e-10,1.50328e-10
15.0,17.0,3900.0,14.0,2.48863e-10,1.28648e-10
15.0,21.0,3500.0,14.0,2.49791e-10,1.297e-10
16.0,14.0,3700.0,20.0,2.84054e-10,1.4802e-10
16.0,14.0,2200.0,13.0,2.75756e-10,1.38168e-10
14.0,15.0,3800.0,21.0,2.30247e-10,1.267e-10
14.0,20.0,2800.0,17.0,2.2581e-10,1.22035e-10
16.0,15.0,4000.0,12.0,2.75437e-10,1.37518e-10
18.0,21.0,2400.0,19.0,3.46947e-10,1.7407e-10
14.0,13.0,3900.0,16.0,2.23225e-10,1.19018e-10
17.0,13.0,2800.0,15.0,3.08837e-10,1.53733e-10
16.0,15.0,3100.0,16.0,2.79336e-10,1.42612e-10
17.0,15.0,3300.0,12.0,3.06217e-10,1.50098e-10
16.0,17.0,3400.0,21.0,2.86093e-10,1.50351e-10
15.0,18.0,3800.0,17.0,2.52689e-10,1.33124e-10
13.0,16.0,3800.0,13.0,1.95196e-10,1.05279e-10
15.0,21.0,3500.0,21.0,2.58195e-10,1.39303e-10
20.0,13.0,2200.0,13.0,4.10321e-10,1.93235e-10
14.0,20.0,2400.0,18.0,2.26453e-10,1.2284e-10
14.0,11.0,2100.0,13.0,2.18929e-10,1.14139e-10
19.0,17.0,2800.0,19.0,3.80658e-10,1.8745e-10
21.0,13.0,2700.0,16.0,4.50834e-10,2.12558e-10
17.0,13.0,3800.0,17.0,3.11378e-10,1.56787e-10
15.0,15.0,2300.0,13.0,2.47078e-10,1.26561e-10
20.0,13.0,3200.0,21.0,4.18576e-10,2.04465e-10
16.0,12.0,3800.0,16.0,2.78918e-10,1.42046e-10
16.0,16.0,2400.0,18.0,2.81378e-10,1.45137e-10
19.0,17.0,3900.0,17.0,3.7895e-10,1.85131e-10
15.0,18.0,3500.0,20.0,2.55908e-10,1.36809e-10
11.0,20.0,3000.0,14.0,1.51781e-10,8.80343e-11
15.0,17.0,3100.0,18.0,2.53225e-10,1.3382e-10
16.0,21.0,4000.0,13.0,2.7824e-10,1.40874e-10
20.0,19.0,2600.0,18.0,4.15657e-10,2.00848e-10
20.0,13.0,2200.0,14.0,4.10713e-10,1.94135e-10
18.0,13.0,3200.0,14.0,3.40307e-10,1.65624e-10
18.0,16.0,2100.0,20.0,3.46504e-10,1.73695e-10
13.0,19.0,3300.0,15.0,1.98287e-10,1.08779e-10
16.0,15.0,3500.0,16.0,2.7946e-10,1.42727e-10
11.0,19.0,3500.0,13.0,1.50902e-10,8.70108e-11
17.0,15.0,4000.0,20.0,3.14954e-10,1.6108e-10
15.0,11.0,3900.0,17.0,2.51544e-10,1.3168e-10
18.0,14.0,3900.0,13.0,3.39968e-10,1.64923e-10
11.0,13.0,3500.0,15.0,1.51799e-10,8.79434e-11
16.0,18.0,3400.0,21.0,2.86155e-10,1.50459e-10
18.0,19.0,3400.0,20.0,3.4784e-10,1.75112e-10
18.0,13.0,2300.0,21.0,3.47887e-10,1.75159e-10
14.0,18.0,2900.0,13.0,2.20816e-10,1.16244e-10
16.0,20.0,3300.0,17.0,2.81825e-10,1.45488e-10
14.0,14.0,2700.0,15.0,2.22033e-10,1.1775e-10
19.0,11.0,2100.0,20.0,3.80271e-10,1.87121e-10
21.0,15.0,4000.0,13.0,4.49667e-10,2.09923e-10
12.0,12.0,2100.0,13.0,1.70084e-10,9.36643e-11
19.0,14.0,3900.0,17.0,3.78306e-10,1.84388e-10
16.0,13.0,3200.0,17.0,2.80525e-10,1.43919e-10
13.0,20.0,3000.0,21.0,2.05724e-10,1.1685e-10
15.0,15.0,4000.0,18.0,2.53111e-10,1.33595e-10
16.0,13.0,2600.0,17.0,2.80269e-10,1.43687e-10
14.0,20.0,3200.0,11.0,2.19481e-10,1.14435e-10
21.0,13.0,2700.0,18.0,4.52705e-10,2.15229e-10
21.0,13.0,2100.0,19.0,4.53628e-10,2.16521e-10
18.0,11.0,3400.0,16.0,3.42098e-10,1.68022e-10
14.0,18.0,2500.0,20.0,2.28554e-10,1.25107e-10
18.0,15.0,3800.0,21.0,3.48829e-10,1.76132e-10
12.0,11.0,3800.0,18.0,1.76779e-10,1.00685e-10
11.0,18.0,3900.0,20.0,1.59132e-10,9.56647e-11
18.0,13.0,2400.0,14.0,3.39955e-10,1.65285e-10
16.0,16.0,3400.0,19.0,2.8337e-10,1.47278e-10
21.0,18.0,3900.0,15.0,4.51535e-10,2.12951e-10
20.0,15.0,2100.0,20.0,4.1672e-10,2.02409e-10
12.0,15.0,2900.0,12.0,1.69782e-10,9.32586e-11
15.0,17.0,2200.0,17.0,2.51878e-10,1.32332e-10
13.0,17.0,3000.0,16.0,1.98564e-10,1.09149e-10
12.0,20.0,2600.0,16.0,1.7564e-10,9.97719e-11
16.0,17.0,3400.0,12.0,2.75786e-10,1.37945e-10
13.0,18.0,2800.0,15.0,1.97737e-10,1.08228e-10
14.0,11.0,3600.0,17.0,2.24406e-10,1.20251e-10
12.0,17.0,3900.0,20.0,1.80552e-10,1.04824e-10
11.0,11.0,3300.0,19.0,1.56681e-10,9.29097e-11
