Wpmos_in,L_Radius,Cin_OD,Wnmos_follower,center_freq,Output Impedance (Rout),Power(mW),Gain,spectrum_sfdr,spectrum_snr,spectrum_enob
30,18e-6,40e-15,10,24.4e9,67.9,13.94,582.8e-3,54.13,57.42,9.244
30,18e-6,40e-15,12,24e9,64.75,13.93,1.253,56.39,59.35,9.566
30,18e-6,40e-15,14,24e9,62.63,13.93,1.778,60.61,62.85,10.15
30,18e-6,40e-15,16,23.6e9,61.13,13.93,2.208,57.37,60.59,9.772
30,18e-6,40e-15,18,23.2e9,60.01,13.94,2.569,54.78,58.34,9.398
30,18e-6,40e-15,20,22.8e9,59.1,13.95,2.876,54.89,58.48,9.421
30,18e-6,70e-15,15,22.8e9,63.3,14.01,1.337,61.52,64.14,10.36
30,18e-6,70e-15,10,23.6e9,69.11,14.01,-568.7e-3,52.89,55.95,9
30,18e-6,70e-15,12,23.2e9,66.08,14.01,321.6e-3,52.08,55.23,8.882
30,18e-6,70e-15,14,22.8e9,64,14.01,1.03,58.06,59.87,9.652
30,18e-6,70e-15,16,22.4e9,62.49,14.02,1.611,61.72,62.94,10.16
30,18e-6,70e-15,18,22e9,61.31,14.03,2.098,52.81,56.09,9.024
30,18e-6,70e-15,20,21.6e9,60.32,14.04,2.512,53.92,57.36,9.234
30,18e-6,100e-15,15,22e9,64.05,14.05,501.6e-3,59.11,60.82,9.809
30,18e-6,100e-15,10,22.8e9,69.81,14.04,-1.755,52.59,55.03,8.849
30,18e-6,100e-15,12,22.4e9,66.83,14.05,-713.2e-3,51.35,54.05,8.685
30,18e-6,100e-15,14,22e9,64.75,14.05,128.6e-3,57.67,58.28,9.387
30,18e-6,100e-15,16,21.6e9,63.21,14.06,827.5e-3,59.24,59.5,9.59
30,18e-6,100e-15,18,21.2e9,61.97,14.07,1.418,50.89,53.99,8.675
30,18e-6,100e-15,20,21.2e9,60.89,14.08,1.927,55.36,57.73,9.296
30,20e-6,10e-15,15,23.6e9,62.14,13.67,2.795,53.07,55.61,8.945
30,20e-6,10e-15,10,24.4e9,68.53,13.64,1.999,59.53,60.39,9.737
30,20e-6,10e-15,12,24e9,65.21,13.65,2.372,59.67,59.58,9.604
30,20e-6,10e-15,14,23.6e9,62.94,13.66,2.668,51.07,54.01,8.678
30,20e-6,10e-15,16,23.2e9,61.32,13.68,2.914,56.57,58.17,9.369
30,20e-6,10e-15,18,23.2e9,60.1,13.7,3.127,61.37,63.03,10.18
30,20e-6,10e-15,20,22.8e9,59.12,13.73,3.318,62.02,62.1,10.02
30,20e-6,10e-15,15,23.6e9,62.14,13.67,2.795,53.07,55.61,8.945
30,20e-6,10e-15,10,24.4e9,68.53,13.64,1.999,59.53,60.39,9.737
30,20e-6,10e-15,12,24e9,65.21,13.65,2.372,59.67,59.58,9.604
30,20e-6,10e-15,14,23.6e9,62.94,13.66,2.668,51.07,54.01,8.678
30,20e-6,10e-15,16,23.2e9,61.32,13.68,2.914,56.57,58.17,9.369
30,20e-6,10e-15,18,23.2e9,60.1,13.7,3.127,61.37,63.03,10.18
30,20e-6,10e-15,20,22.8e9,59.12,13.73,3.318,62.02,62.1,10.02
30,20e-6,40e-15,15,22.4e9,64.54,13.93,2.576,54.78,58.36,9.402
30,20e-6,40e-15,10,23.2e9,70.66,13.91,1.198,58.63,61.26,9.883
30,20e-6,40e-15,12,22.8e9,67.52,13.92,1.847,58.94,61.78,9.969
30,20e-6,40e-15,14,22.4e9,65.32,13.93,2.355,54.86,58.4,9.408
