CP_out_width,nor_n_width,nor_p_width,tspc_n_width,tspc_p_width,vdd,deadzone,power
7.2e-07,2.5e-07,4.4e-07,2.75e-07,4e-07,0.8,4.3372e-12,0.0030283
7.2e-07,2.5e-07,4.4e-07,2.75e-07,4e-07,0.9,1.801e-13,0.003992
7.2e-07,2.5e-07,4.4e-07,2.75e-07,4e-07,1.0,-1.5419e-12,0.0051839
7.2e-07,2.5e-07,4.4e-07,2.75e-07,4.4e-07,0.8,4.1981e-12,0.0030363
7.2e-07,2.5e-07,4.4e-07,2.75e-07,4.4e-07,0.9,1.6989e-13,0.0040019
7.2e-07,2.5e-07,4.4e-07,2.75e-07,4.4e-07,1.0,-1.458e-12,0.0051969
7.2e-07,2.75e-07,3.6e-07,2.25e-07,3.6e-07,0.8,4.1532e-12,0.0029955
7.2e-07,2.75e-07,3.6e-07,2.25e-07,3.6e-07,0.9,-2.3754e-13,0.0039482
7.2e-07,2.75e-07,3.6e-07,2.25e-07,3.6e-07,1.0,-2.0184e-12,0.0051265
7.2e-07,2.75e-07,3.6e-07,2.25e-07,4e-07,0.8,3.9872e-12,0.0030034
7.2e-07,2.75e-07,3.6e-07,2.25e-07,4e-07,0.9,-2.7454e-13,0.003958
7.2e-07,2.75e-07,3.6e-07,2.25e-07,4e-07,1.0,-1.9412e-12,0.0051392
7.2e-07,2.75e-07,3.6e-07,2.25e-07,4.4e-07,0.8,3.849e-12,0.0030114
7.2e-07,2.75e-07,3.6e-07,2.25e-07,4.4e-07,0.9,-3.1389e-13,0.0039678
7.2e-07,2.75e-07,3.6e-07,2.25e-07,4.4e-07,1.0,-1.8764e-12,0.005152
7.2e-07,2.75e-07,3.6e-07,2.5e-07,3.6e-07,0.8,4.4267e-12,0.0030053
7.2e-07,2.75e-07,3.6e-07,2.5e-07,3.6e-07,0.9,1.7209e-14,0.0039623
7.2e-07,2.75e-07,3.6e-07,2.5e-07,3.6e-07,1.0,-1.8578e-12,0.0051452
7.2e-07,2.75e-07,3.6e-07,2.5e-07,4e-07,0.8,4.2675e-12,0.0030133
7.2e-07,2.75e-07,3.6e-07,2.5e-07,4e-07,0.9,6.1856e-15,0.0039722
7.2e-07,2.75e-07,3.6e-07,2.5e-07,4e-07,1.0,-1.7603e-12,0.0051579
7.2e-07,2.75e-07,3.6e-07,2.5e-07,4.4e-07,0.8,4.133e-12,0.0030212
7.2e-07,2.75e-07,3.6e-07,2.5e-07,4.4e-07,0.9,-1.1856e-14,0.0039821
7.2e-07,2.75e-07,3.6e-07,2.5e-07,4.4e-07,1.0,-1.6824e-12,0.0051708
7.2e-07,2.75e-07,3.6e-07,2.75e-07,3.6e-07,0.8,4.6741e-12,0.0030151
7.2e-07,2.75e-07,3.6e-07,2.75e-07,3.6e-07,0.9,2.1189e-13,0.0039764
7.2e-07,2.75e-07,3.6e-07,2.75e-07,3.6e-07,1.0,-1.7174e-12,0.0051637
7.2e-07,2.75e-07,3.6e-07,2.75e-07,4e-07,0.8,4.5142e-12,0.0030231
7.2e-07,2.75e-07,3.6e-07,2.75e-07,4e-07,0.9,2.2209e-13,0.0039863
7.2e-07,2.75e-07,3.6e-07,2.75e-07,4e-07,1.0,-1.6117e-12,0.0051766
7.2e-07,2.75e-07,3.6e-07,2.75e-07,4.4e-07,0.8,4.3831e-12,0.0030311
7.2e-07,2.75e-07,3.6e-07,2.75e-07,4.4e-07,0.9,2.2486e-13,0.0039962
7.2e-07,2.75e-07,3.6e-07,2.75e-07,4.4e-07,1.0,-1.5216e-12,0.0051897
7.2e-07,2.75e-07,4e-07,2.25e-07,3.6e-07,0.8,4.0722e-12,0.0029986
7.2e-07,2.75e-07,4e-07,2.25e-07,3.6e-07,0.9,-2.5384e-13,0.0039518
7.2e-07,2.75e-07,4e-07,2.25e-07,3.6e-07,1.0,-1.9791e-12,0.0051311
7.2e-07,2.75e-07,4e-07,2.25e-07,4e-07,0.8,3.9003e-12,0.0030065
7.2e-07,2.75e-07,4e-07,2.25e-07,4e-07,0.9,-2.9822e-13,0.0039616
7.2e-07,2.75e-07,4e-07,2.25e-07,4e-07,1.0,-1.9038e-12,0.0051438
7.2e-07,2.75e-07,4e-07,2.25e-07,4.4e-07,0.8,3.7558e-12,0.0030145
7.2e-07,2.75e-07,4e-07,2.25e-07,4.4e-07,0.9,-3.4361e-13,0.0039714
7.2e-07,2.75e-07,4e-07,2.25e-07,4.4e-07,1.0,-1.843e-12,0.0051566
7.2e-07,2.75e-07,4e-07,2.5e-07,3.6e-07,0.8,4.3483e-12,0.0030084
7.2e-07,2.75e-07,4e-07,2.5e-07,3.6e-07,0.9,2.9821e-15,0.0039659
7.2e-07,2.75e-07,4e-07,2.5e-07,3.6e-07,1.0,-1.82e-12,0.0051497
7.2e-07,2.75e-07,4e-07,2.5e-07,4e-07,0.8,4.1822e-12,0.0030164
7.2e-07,2.75e-07,4e-07,2.5e-07,4e-07,0.9,-1.4353e-14,0.0039757
7.2e-07,2.75e-07,4e-07,2.5e-07,4e-07,1.0,-1.7285e-12,0.0051625
7.2e-07,2.75e-07,4e-07,2.5e-07,4.4e-07,0.8,4.0392e-12,0.0030243
